i recieved you're seperate messeges yesterday	I received your separate messages yesterday.
their are alot of thing we need too discus	There are a lot of things we need to discuss.
he dont have no time to finish this	He does not have time to finish this.
she have went to the market	She has gone to the market.
the team have been working hardly on it	The team has been working hard on it.
please find attach the report which you was requesting	Please find the attached report which you were requesting.
me and him is going to the conference	He and I are going to the conference.
can you confirmed if the payement has been proccessed	Can you confirm if the payment has been processed?
we was hoping you could sended us the invoice agian	We were hoping you could send us the invoice again.
thankyou for you patients i apreciate it	Thank you for your patience, I appreciate it.
kindly revert back to me on the earliest	Kindly revert to me at the earliest.
their was a issue with the server	There was an issue with the server.
i has mailed him yesterday	I mailed him yesterday.
the childrens are playing in the park	The children are playing in the park.
he go to school everyday	He goes to school every day.
they is very happy about the result	They are very happy about the result.
i am gone to the office now	I am going to the office now.
we discussed about the project	We discussed the project.
she is more taller than him	She is taller than him.
this is the most best solution	This is the best solution.
i have a informations for you	I have some information for you.
he did not went to the meeting	He did not go to the meeting.
your welcome to join us anytime	You are welcome to join us anytime.
its a good idea to review it	It is a good idea to review it.
the datas are stored in the server	The data is stored in the server.
i look forward to hearing of you	I look forward to hearing from you.
please let me to know if you need help	Please let me know if you need help.
he is responsible of the team	He is responsible for the team.
we have discussed it since a long time	We have discussed it for a long time.
i want that you send the file	I want you to send the file.
