metric,model,beam,batch,value
speller_only,-,-,-,6480
throughput,mini,1,1,20.2
throughput,mini,1,4,47.2
throughput,mini,1,8,68.8
throughput,mini,1,16,117.5
throughput,mini,1,32,174.0
throughput,mini,1,64,211.8
latency_p50_ms,mini,1,1,33.7
latency_p95_ms,mini,1,1,46.6
latency_p99_ms,mini,1,1,47.1
throughput,tiny,1,1,35.4
throughput,tiny,1,4,38.0
throughput,tiny,1,8,81.9
throughput,tiny,1,16,157.7
throughput,tiny,1,32,233.1
throughput,tiny,1,64,310.3
latency_p50_ms,tiny,1,1,28.3
latency_p95_ms,tiny,1,1,37.8
latency_p99_ms,tiny,1,1,50.2
beam_throughput,mini,1,16,122.4
beam_throughput,mini,2,16,90.4
beam_throughput,mini,4,16,47.1
beam_throughput,mini,5,16,40.2
